id;context;question;answer
1186;The loyalty of the Group's customers is one of its main assets, since this gives rise to a sustainable competitive advantage. For the Group, customer satisfaction is key to their loyalty and therefore it strives continuously to offer, more than a service, an experience that links the customer with the brand and its corporate values.;What impact does the customer satisfaction being key to their loyalty have for the Group?;it strives continuously to offer, more than a service, an experience that links the customer with the brand and its corporate values
1187;The table on GHG emissions excludes the three months of GHG data relating the Lifestyle acquisition as the data was not available at the date of reporting.;What is the reason for excluding the three months of GHG data related to the Lifestyle acquisition from the table on GHG emissions?;the data was not available at the date of reporting
1188;The Board does not consider it appropriate to appoint a Senior Independent Director because the Board is deemed to be independent of the Company. The Company has no employees and therefore there is no requirement for a chief executive.;What are the implications of the Company having no employees?;there is no requirement for a chief executive
1189;This complete and timely view of risk is obtained as a result of the integration of several programs, such as risk and control assessment, scenarios, events and metrics with a common set of taxonomies, and methodological standards. The result of this integration is a more precise risk profile and a significant improvement in efficiency by avoiding redundant efforts and duplicities.;What allows a complete and timely view of risk and therefore a more precise risk profile and significant improvement in efficiency by avoiding redundant efforts and duplicities?;the integration of several programs, such as risk and control assessment, scenarios, events and metrics with a common set of taxonomies, and methodological standards
1190;• Non-current assets increased to £452.3 million mainly due to the acquisition of Apex (£28.7 million), a 33.0% share of Medical Ethics (£11.0 million) and acquired intangibles for Animal Ethics (£30.1 million).;What were the main reasons non-current assets increased to £452.3 million?;the acquisition of Apex (£28.7 million), a 33.0% share of Medical Ethics (£11.0 million) and acquired intangibles for Animal Ethics (£30.1 million)
1191;On the other hand, 2018 saw a marked decrease in the risks arising from economic and fiscal conditions in the euro area, mainly as a result of favourable cyclical forces.;What was the implication of favourable cyclical forces in 2018?;a marked decrease in the risks arising from economic and fiscal conditions in the euro area
1192;To assist in monitoring the risk management framework, the Assets and Liabilities, Retail Credit, Conduct & Regulatory Risk, Operational Risk, Information and Project & Change Committees report into the Board Risk Committee. As a result of continued enhancement to the governance structure, these committees are transitioning to report into the Executive Committee, who will then report into the Board Risk Committee. The Committee meets at least quarterly.;What were the implications of the continued enhancements to the governance structure?;these committees are transitioning to report into the Executive Committee, who will then report into the Board Risk Committee
1193;Gold reserves increased as a result of the ongoing effort to upgrade the increased resources reported in 2016 into reserves. However, gold resources decreased as result of an estimated higher life of mine all-in sustaining cost and stricter geotechnical parameters required for the expanded open pit.;What drove the increase in gold reserves?;the ongoing effort to upgrade the increased resources reported in 2016 into reserves
1194;Communication is key to innovation in our business. Breaking down silos and sharing best practice allows us to leverage the expertise in our business and provide the best service to our customers. Because of this, DS Smith invested in enhancing our communication and collaboration platforms;What factor led DS Smith to invest in enhancing their communication and collaboration platforms?;Communication is key to innovation in our business. Breaking down silos and sharing best practice allows us to leverage the expertise in our business and provide the best service to our customers
1195;The financial results for the year reflect a period of transition for Circassia. Gross profit Gross margin increased from 65% to 78%. This was mainly due to the contribution of revenues from the AstraZeneca collaboration for the full year, which due to the agreement structure have a 100% gross margin.;What factor caused the gross margin to increase from 65% to 78%?;the contribution of revenues from the AstraZeneca collaboration for the full year
1196;The Group has invested in its development processes and governance during the year. The Group now operates the SAFe methodology across its development streams and, as a consequence, development work is now carried out on an agile basis.;What explains development work being now carried out on an agile basis?;The Group now operates the SAFe methodology across its development streams
1197;The Company became a member of the AIC with effect from 27 March 2013 and has therefore put in place arrangements to comply with the AIC Code and, in accordance with the AIC Code, complies with the UK Code.;What have been the implications of the Company becoming a member of the AIC with effect from 27 March 2013?;put in place arrangements to comply with the AIC Code and, in accordance with the AIC Code, complies with the UK Code
1198;In 2017 we determined that we would exit three minor operations in Latin America and the results of these businesses are therefore reported in portfolio businesses in 2017 accordingly.;What accounts for reporting their results in portfolio businesses in 2017?;In 2017 we determined that we would exit three minor operations in Latin America
1199;"Whilst the 2016/17 Adjusted PBT outcome of £332m (at 2015/16 exchange rates; £462m at reported rates) is above threshold, Christopher Bailey decided that he did not wish to be considered for any bonus in respect of 2016/17 in light of the underlying financial performance of the business for the year. The Committee considered his decision and deemed it to be appropriate. His bonus payment for 2016/17 will therefore be nil.";Why will Christopher Bailey's bonus payment be nil?;Christopher Bailey decided that he did not wish to be considered for any bonus in respect of 2016/17 in light of the underlying financial performance of the business for the year. The Committee considered his decision and deemed it to be appropriate
1200;Risk Profile Mitigation, monitoring and assurance Strategic Delivery of integration: Failure to ensure business continuity while successfully integrating the business through delivering organisational change and integration projects and delivering cost synergy targets. This is a new risk in 2017 due to the AFW acquisition.;What caused this to be a new risk in 2017?;the AFW acquisition
1201;In September 2018 Construcciones y Auxiliar de Ferrocarriles, S.A. acquired all the share capital of the Polish bus manufacturer Solaris. The acquisition cost of the share capital was financed primarily with additional long-term debt of the Group’s Parent. This acquisition had a significant impact on the Group's gross borrowings, both due to the increase in the Parent’s borrowings used to purchase the shares and Solaris’s inclusion in the scope of consolidation.;Which reasons prompted the acquisition of all the share capital of the Polish bus manufacturer Solaris by Construcciones y Auxiliar de Ferrocarriles, S.A. having a significant impact on the Group's gross borrowings?;the increase in the Parent’s borrowings used to purchase the shares and Solaris’s inclusion in the scope of consolidation
1202;The ratio of net debt to Adjusted EBITDA is used by investors, analysts and credit rating agencies to analyse our operating performance in the context of targeted financial leverage, and as such, we provide a reconciliation of this measure.;What motivates them to provide a reconciliation of the ratio of net debt to Adjusted EBITDA?;The ratio of net debt to Adjusted EBITDA is used by investors, analysts and credit rating agencies to analyse our operating performance in the context of targeted financial leverage
1203;It should be noted, that, as a FTSE 250 company, all Directors are subject to annual re-election and therefore it is considered that the Company's terms are appropriate.;What does the status of a FTSE 250 company imply?;all Directors are subject to annual re-election
1204;EBITDA was £25,00 0 for the year (2016: £257,000) mainly as a result of a slowdown in the UK market and continued investment into the USA, a market entered into for the first time last year.;What did the slowdown in the UK market and the continued investment into the USA translate to?;EBITDA was £25,00 0 for the year (2016: £257,000)
1205;The acquisition of TravelClick will significantly expand Amadeus’ footprint in the hospitality industry, as well as accelerate Amadeus’ time to market, thanks to a well-built commercial organization that has been scaled globally.;What will the absorption of TravelClick and a well-built worldwide commercial structure entail?;expand Amadeus’ footprint in the hospitality industry, as well as accelerate Amadeus’ time to market
1206;Investments in unlisted equity securities, by their nature, involve a higher degree of valuation and performance uncertainties and liquidity risks than investments in listed securities and therefore may be more difficult to realise.;Why might investments in unlisted equity securities be more difficult to realize?;Investments in unlisted equity securities, by their nature, involve a higher degree of valuation and performance uncertainties and liquidity risks than investments in listed securities
1207;We maximise the potential returns accrued from this infrastructure through multiple further factors, including: • Our capital-light business model, which enables us to respond and adapt rapidly to the changing needs of our customers and markets • Our disciplined approach to capital allocation, which enables us to support organic growth through creating new services, developing client relationships in high-margin areas and investing in the most attractive growth opportunities.;What does their capital-light business model make possible?;to respond and adapt rapidly to the changing needs of our customers and markets
1208;The team has continued to improve customer experience both online and offline, with the addition of field application engineers to offer onsite technical support. As a result, we have taken market share in North America, particularly in the Automation and Control market, which remains Allied's key strength.;What factors contributed to taking market share in North America, mainly in the Automation and Control market?;The team has continued to improve customer experience both online and offline, with the addition of field application engineers to offer onsite technical support
1209;As a Jersey-registered company, the Company is not subject to UK legislation. However, in light of the Company's listing on the London Stock Exchange, the Remuneration Committee reviewed its remuneration practices and reporting to reflect the UK Government's remuneration reporting reforms contained in the Enterprise and Regulatory Reform Act.;What is the implication of the Company being registered in Jersey?;the Company is not subject to UK legislation
1210;Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution. This drives the need for new, digital printing processes which are capable of delivering short print runs quickly, economically and in a more environmentally friendly way.;What triggers the need for new digital printing processes that can quickly, economically, and environmentally deliver short print runs?;Textile Printing using digital inkjet technology is growing fast due to rapid shifts in consumer expectations such as fast changing fashion seasons, and the requirement to reduce waste and pollution
1211;We are also considering how development through apprenticeships can support the ongoing development of our existing workforce. We are therefore piloting a Level 4 management apprenticeship with existing staff this year.;Why are they piloting a Level 4 management apprenticeship with existing staff this year?;We are also considering how development through apprenticeships can support the ongoing development of our existing workforce
1212;Going concern basis The Directors are satisfied that the Group has sufficient financial resources to continue operating for a period of at least twelve months from the date of approval of the financial statements and, therefore, have adopted the going concern basis in preparing the Group's 2017 financial statements.;What caused the Directors to adopt the going concern basis in preparing the Group's 2017 financial statements?;The Directors are satisfied that the Group has sufficient financial resources to continue operating for a period of at least twelve months from the date of approval of the financial statements
1213;During 2017, we sold residual certificates in one of our securitisation vehicles, PMF 2017-1B, to a third party in a transaction which resulted in the full derecognition of the underlying mortgage assets from the Group and delivered a net gain on sale of loans of £17.7 million (2016: £nil). Our total income for 2017 increased by 82.5% year-on-year to £170.2 million (2016: £93.3 million).;What was the outcome of the sale of residual certificates in a securitisation vehicle, PMF 2017-1B, to a third party in 2017?;the full derecognition of the underlying mortgage assets from the Group and delivered a net gain on sale of loans of £17.7 million (2016: £nil)
1214;Leasehold store impairment testing during the year has identified a number of stores where the anticipated future performance does not support the carrying value of the assets. As a result, a charge of £0.4m has been incurred in respect of the impairment of assets associated with these stores.;What motivated the £0.4m charge for the impairment of assets associated with these stores?;Leasehold store impairment testing during the year has identified a number of stores where the anticipated future performance does not support the carrying value of the assets
1215;Current underwriting profit was £237m (2016: £271m). There were good improvements in the attritional loss ratio in Scandinavia (1.6 points better) and Canada (1 point better), offset by a higher ratio in UK & International due to the UK Household segment.;What contributed to the good improvements being offset by a higher ratio in UK & International?;the UK Household segment
1216;Following the recommendation of the audit committee, we were appointed by the members prior to 1955 which is as far back as records have been located, and therefore the length of uninterrupted engagement is at least 62 years.;What explains the length of uninterrupted engagement being at least 62 years?;we were appointed by the members prior to 1955 which is as far back as records have been located
1217;The Group has carried out an initial review of the US Tax and Jobs Act which came into force on 1 January 2018 and as a result has recorded a one-off non-cash credit of $8.5m to the income statement in 2017 as a result of the revaluation of net deferred tax liabilities.;What did the one-off non-cash credit of $8.5 million to the income statement in 2017 stem from?;the revaluation of net deferred tax liabilities
1218;Accordingly, the Directors believe that the Group and Company are a going concern and have therefore prepared the Financial statements on a going concern basis.;What was the reason for the Directors preparing the Financial Statements on a going concern basis?;the Directors believe that the Group and Company are a going concern
1219;LTL's relative underperformance in year to January 2017 resulted to a large extent from the Manager's unwillingness to own commodity extractors/processors, industrial and leveraged financial companies. Because of the concentrated nature and focus of their portfolios LTL expect to suffer periods like this every so often.;What caused LTL's relative underperformance in the year leading up to January 2017?;the Manager's unwillingness to own commodity extractors/processors, industrial and leveraged financial companies
1220;There is no concern that the independence of the Directors has been compromised by length of service particularly in light of the fact that the Board as a whole has two new members who were appointed in the current year.;What is the main reason for there being no concern that the independence of the Directors has been compromised by length of service?;the fact that the Board as a whole has two new members who were appointed in the current year
1221;As a result of the mitigations in place, the exposure to this risk has decreased sufficiently for the Board to consider that it is not currently a principal risk. Risks and uncertainties where the net impact has increased since prior year, and which are now considered principal risks and uncertainties.;What did the mitigations in place lead to?;the exposure to this risk has decreased sufficiently for the Board to consider that it is not currently a principal risk
1222;Upon Alastair accepting the role and the Board taking up references, the appointment was announced to the market on 19 December 2017.;What were the implications of Alastair accepting the role and the Board taking up references?;the appointment was announced to the market on 19 December 2017
1223;We monitored Pension Risk appetite metrics closely, in part due to the increase in the absolute size of the pension fund due to market movements.;What was the partial reason for monitoring Pension Risk appetite metrics closely?;the increase in the absolute size of the pension fund
1224;The Narrabri royalty is classified as a royalty intangible asset on the balance sheet. As such, this asset is carried at cost less amortisation and impairments and does not benefit from any valuation uplift.;What does the Narrabri royalty being classified as a royalty intangible asset on the balance sheet imply?;this asset is carried at cost less amortisation and impairments and does not benefit from any valuation uplift
1225;After making enquiries, the directors have formed the judgment at the time of approving the financial statements, that there is a reasonable expectation that the Group has adequate resources to continue in operational existence for the foreseeable future. For this reason, they continue to adopt the going concern basis of accounting in preparing the Consolidated Financial Statements.;What accounts for the decision to continue to adopt the going concern basis of accounting in preparing the Consolidated Financial Statements?;After making enquiries, the directors have formed the judgment at the time of approving the financial statements, that there is a reasonable expectation that the Group has adequate resources to continue in operational existence for the foreseeable future
1226;The purchase process at Bankinter has been transformed in recent years as a result of the guidelines and requirements of European regulation and supervision organisations, in particular, the European Central Bank, the European Banking Authority (EBA) and the Single Resolution Board.;What impact did the new directives and mandates of European regulatory and supervisory bodies have?;The purchase process at Bankinter has been transformed in recent years
1227;The valuer proposed changes to the values of our properties and developments during the year, which were discussed by the Committee in detail and accepted. Based on the degree of oversight and challenge applied to the valuation process, the Committee concluded that the valuations had each been conducted appropriately, independently;What were the implications of the degree of oversight and challenge applied to the valuation process?;the Committee concluded that the valuations had each been conducted appropriately, independently
1228;The indicators and information to report externally about our non-financial performance has been defined as a result of this materiality analysis. Neither water consumption (water is exclusively used for cleaning tasks) nor the impact of our activities on biodiversity (since our facilities and activities are located or performed on urban land) nor light or noise pollution (logistics centres are not located in residential area) are considered to be material issues and additional figures are therefore not reported.;What impact did the materiality analysis have?;The indicators and information to report externally about our non-financial performance has been defined
1229;This decrease was generated by a £4.1 million reduction in EBITDA and a £3.6 million reduction in working capital cash flow. The reduction in working capital cash flow was driven by a £2.5 million working capital cash outflow in the period compared to a £1.1 million working capital cash inflow in the prior period.;What factors are owed to this decrease?;a £4.1 million reduction in EBITDA and a £3.6 million reduction in working capital cash flow
1230;The businesses operate primarily in the British expatriate market which is serviced by a limited number of intermediaries and product providers thus creating a competitive environment.;What caused a competitive environment?;The businesses operate primarily in the British expatriate market which is serviced by a limited number of intermediaries and product providers
1231;Gross profit margin improved by 1.1% to 32.5% due to a focus on operational efficiencies and targeted capital expenditure to reduce the need to hire in equipment for certain projects.;What made it possible to improve the gross profit margin by 1.1% to 32.5%?;a focus on operational efficiencies
1232;HEDGING Eland was unhedged throughout 2017 and thus benefited from the strong rise in the oil price in the latter half of 2017 and into 2018. The Company will continue to regularly review its approach to managing commodity prices, interest rate and currency fluctuations;Why did Eland benefited from the strong rise in the oil price in the latter half of 2017 and in 2018?;Eland was unhedged throughout 2017
1233;The lower cash outflow in tax, dividends, etc. was due to lower investment in Cohort's own shares by the EBT on a net inflow of £0.5m (2016: outflow of £3.2m). Looking forward, we retain the flexibility to use newly issued shares as well as EBT shares.;What caused the lower cash outflow in tax, dividends, etc.?;lower investment in Cohort's own shares by the EBT on a net inflow of £0.5m (2016: outflow of £3.2m)
1234;All of the Group's capabilities and customer relationships ultimately derive from our people, and such success as we have enjoyed is a result of their efforts. We would like to take this opportunity to express our thanks to all employees of Cohort and its businesses.;What is the reason behind the success they have enjoyed?;their efforts
1235;The gross margin of Accessories & Other fell 4.8 percentage points to 29.4%. This decline was due to the first-time contribution of virtual reality device sales launched in the period, which attract a lower margin than the category average as well as year-on-year decline in the gross margin achieved;What caused the gross margin of Accessories & Other to fall by 4.8 percentage points to 29.4%?;the first-time contribution of virtual reality device sales launched in the period, which attract a lower margin than the category average as well as year-on-year decline in the gross margin achieved
1236;The financial results for the year reflect a period of transition for Circassia. Gross profit Gross margin increased from 65% to 78%. This was mainly due to the contribution of revenues from the AstraZeneca collaboration for the full year, which due to the agreement structure have a 100% gross margin.;Why did the contribution of revenues from the AstraZeneca collaboration for the full year have a 100% gross margin?;the agreement structure
1237;The Board has established financial controls and reporting procedures which are considered appropriate given the size and structure of the Group. It is the intention of the Board that these controls will be reviewed regularly in light of the future growth and development of the Group and adjusted accordingly.;What explains why the financial controls and reporting procedures established by the Board are considered appropriate?;the size and structure of the Group
1238;Management believes focusing on Underlying EBITDA more closely reflects the operating cash generative capacity and hence the underlying performance of the Group's business. Management also uses this measure because financing structures and tax regimes differ across the Group's assets and substantial components of the Group's tax and interest charges are levied at a Group level rather than an operational level.;What factors account for the Group's use of Underlying EBITDA?;financing structures and tax regimes differ across the Group's assets and substantial components of the Group's tax and interest charges are levied at a Group level rather than an operational level
1239;In accordance with IAS 36, the higher valuation, being the fair value less cost to sell basis, was used to value the Brush business at £300 million, resulting in an impairment to goodwill of £95.4 million.;What was the effect of valuing the Brush business at £300 million using the fair value less cost to sell basis?;an impairment to goodwill of £95.4 million
1240;As a consequence of the continuing improved trading performance and our confidence in the future, we propose an increase in dividends, subject to shareholder approval at the forthcoming annual general meeting to be held at the offices of Instinctif Partners, 65 Gresham Street, London EC2V 7NQ at 12 noon on Wednesday 21 March 2018.;What is the result of the continuing improved trading performance and their confidence in the future?;we propose an increase in dividends
1241;We monitored Pension Risk appetite metrics closely, in part due to the increase in the absolute size of the pension fund due to market movements.;What does the increase in the absolute size of the pension fund stem from?;market movements
1242;The projected and actual rates differ in part due to reported performance in different tax jurisdictions varying against expectations at the time of the Interim Results.;What caused the projected and actual rates to differ?;reported performance in different tax jurisdictions varying against expectations at the time of the Interim Results
1243;As a consequence of the DLC structure, Non-executive Directors are required to prepare personal tax returns in both Australia and the UK, regardless of whether they reside in one or neither of those countries.;What is the effect of the DLC structure?;Non-executive Directors are required to prepare personal tax returns in both Australia and the UK, regardless of whether they reside in one or neither of those countries
1244;The Board has considered whether it is appropriate to appoint a Senior Independent Director and has concluded that, due to the size of the Board and the fact that all Directors are non-executive, it is not necessary for the time being.;What factor led the Board to conclude that it is not necessary to appoint a Senior Independent Director at this time?;the size of the Board and the fact that all Directors are non-executive
1245;• The business model for lighting was overhauled in 2016 and the business is enjoying a wider customer base as a result. The key partnerships established with leading European manufacturers have reduced freight costs and supplier lead times, enabling a reduction in inventory levels.;Why is the business is enjoying a wider customer base?;The business model for lighting was overhauled in 2016
1246;Group adjusted operating margin increased from 14.7% to 15.4%, due to growth in our high margin Personal Care sector and pricing actions taken in the period.;What factors account for the increase in group adjusted operating margin from 14.7% to 15.4%?;growth in our high margin Personal Care sector and pricing actions taken in the period
1247;Due to the increased level of opportunities for independent television producers, in particular in light of the anticipated change in policy by the BBC in relation to commissioning quotas, this operation will result in an increased number of competitors entering the market.;What factors are expected to lead to an increased number of competitors entering the market as a result of this operation?;the increased level of opportunities for independent television producers, in particular in light of the anticipated change in policy by the BBC in relation to commissioning quotas
1248;With the commencement of operations from Birmingham and London Stansted Airports and the addition of two new destinations, Costa de Almeria in Spain and Halkidiki in Greece, the aircraft fleet has increased to 75 for summer 2017, with a commensurate increase in pilots, engineers and cabin crew.;What factors account for the increase in aircraft feet to 75 for summer 2017?;the commencement of operations from Birmingham and London Stansted Airports and the addition of two new destinations, Costa de Almeria in Spain and Halkidiki in Greece
1249;The Group has certain contracts priced in foreign currencies and also has employees based overseas paid in foreign currencies. It is therefore exposed to the risk that adverse exchange rate movements could cause its costs to increase relative to its reporting currency resulting in reduced profitability.;What is the reason for the exposure to possible adverse exchange rate movements leading to increase costs and reduce profitability?;The Group has certain contracts priced in foreign currencies and also has employees based overseas paid in foreign currencies
1250;We see significant and growing opportunities for our software to enhance the performance of businesses in construction and other sectors, by improving the timeliness, cost-efficiency and risk profiles of customers' projects. Thanks to the dedication and skills of our talented colleagues, Elecosoft is increasingly seen as a market-leading provider of construction software and training, across all phases of a construction project and beyond, in the on-going lifecycle of buildings with an excellent reputation for developing and delivering market leading software to our customers.;What is the impact of the dedication and skills of the colleagues?;Elecosoft is increasingly seen as a market-leading provider of construction software and training, across all phases of a construction project and beyond, in the on-going lifecycle of buildings with an excellent reputation for developing and delivering market leading software to our customers
1251;The reduction in Mr. Reeve's base salary in 2017 was a consequence of the effect of a different USD/GBP exchange rate being used to convert his US salary to GBP, than that which actually occurred.;What did the reduction in Mr. Reeve's base salary in 2017 owe to?;the effect of a different USD/GBP exchange rate being used to convert his US salary to GBP, than that which actually occurred
1252;The FRC noted one matter in relation to pension disclosures where they believed that users of the accounts would benefit from improvements to existing disclosures. As a result, we have taken the opportunity to improve our disclosures.;What drove them to take the opportunity to improve their disclosures?;The FRC noted one matter in relation to pension disclosures where they believed that users of the accounts would benefit from improvements to existing disclosures
1253;The audit committee is satisfied with the performance of BDO LLP and recommends the services of BDO LLP to the shareholders in view both of that performance and the firm's extensive experience in auditing Venture Capital Trusts. As the Board is small and consists wholly of non-executive directors and in view of the nature of a Venture Capital Trust it has been decided that a nomination committee does not need to be formed. The remuneration of the directors is reviewed by the whole B oard although no director is involved in setting his own remuneration.;What are the implications of the Board being small and consisting entirely of non-executive directors, considering the nature of a Venture Capital Trust?;it has been decided that a nomination committee does not need to be formed
1254;Revenues from walk-in clients also rose 29% year-on-year, helped by improving patient volumes. The Group served 2% more walk-in patients in 2017 compared with a 4% decline in 2016. Consequently, the Company was able to achieve a 26% increase in revenue-per-patient and on 4% more tests per patient.;What was the reason the Company was able to achieve a 26% increase in revenue per patient and a 4% increase in tests per patient?;The Group served 2% more walk-in patients in 2017 compared with a 4% decline in 2016
1255;The proportion of the Group's profits made in the US is increasing which increases the level of risk when exchange rates fluctuate. Exchange rates have also continued to prove volatile, particularly in light of the ongoing uncertainty over Brexit.;What reason has particularly affected the continued volatility of exchange rates?;the ongoing uncertainty over Brexit
1256;Taxable benefits paid to Ben Magara include costs of £58,880 incurred as a result of the provision of security resulting in a year on year increase of 208% in taxable benefits. Excluding the security related costs shows a decrease of 5.7% in the taxable benefits.;What is the reason for the taxable benefits paid to Ben Magara, including costs of £58,880 incurred?;the provision of security
1257;Having built a highly competitive digital offering in the UK, one of the most advanced and innovative markets globally, we can compete strongly in international markets and thereby diversify our business.;What does it entail for the company to have developed a highly competitive digital offering in the UK?;we can compete strongly in international markets and thereby diversify our business
1258;"In light of our commitment to achieving and maintaining the highest standards of occupational health and safety, and to ensure that HSE remains at the forefront of our thinking – as led by our Chief Executive, Paul Forman – during the year we launched an Essentra-wide Assurance Programme (""EAP"")";What were the consequences of their commitment to achieving and maintaining the highest standards of occupational health and safety?;"during the year we launched an Essentra-wide Assurance Programme (""EAP"")"
1259;Revenues grew in the period, due to increased net positive revaluations of Group Businesses of £5.5m (2016: £1.4 m). Fund management fee income in ALS of £1.7m also showed an increase (2016: £0.6m) and reflects a full year of ALS trading as it was acquired part way through 2016.;What was the cause of the growth in comprehensive income revenues during the period?;increased net positive revaluations of Group Businesses of £5.5m (2016: £1.4 m)
1260;Financial performance has significantly improved, with EBITDA of £29 million in line with our guidance (2016: £4 million negative). This was principally due to the acquisition of Opus Energy, which added 10 months of EBITDA, but also improved financial performance from Haven Power, which was ahead of plan.;What contributed to an EBITDA of £29 million?;the acquisition of Opus Energy, which added 10 months of EBITDA, but also improved financial performance from Haven Power, which was ahead of plan
1261;Within the income from the commercial activity, there was good performance in catering, shops and parking. Food and beverage establishments and shops also increased their income (£BP) by 2.3%, due to the opening of new shops under the terminal extension project, a more varied selection on offer and the shift in passenger flows. Income from car parks also continued to evolve very positively (+16.2%) reflecting the management strategies and prices implemented, along with the successful use of additional parking capacity for vehicles and the compensation on the part of Luton Borough Council for the works on the Direct Air-Rail Transit (light rail link between Luton suburban train station and the airport terminal building). Accordingly, the construction of the new high-rise parking building has started this year.;What accounts for the income from car parks continuing to evolve very positively (+16.2%)?;the management strategies and prices implemented, along with the successful use of additional parking capacity for vehicles and the compensation on the part of Luton Borough Council for the works on the Direct Air-Rail Transit (light rail link between Luton suburban train station and the airport terminal building)
1262;Payments Process Risk: The risk of payments being processed inaccurately, with delays, without appropriate authentication and authorisation. People Risk: The risk that Barclays is exposed to by virtue of being an employer (excluding Health and Safety related risk).;What causes Barclays to be exposed to risk?;being an employer (excluding Health and Safety related risk)
1263;The risk of financial failure, reputational loss, loss of earnings and/or capital as a result of investment activity, lack of liquidity, funding or capital, and/or the inappropriate recording, reporting and disclosure of financial results, taxation or regulatory information.;What factors contribute to the risk of financial failure, reputational loss, and loss of earnings and/or capital?;investment activity, lack of liquidity, funding or capital, and/or the inappropriate recording, reporting and disclosure of financial results, taxation or regulatory information
1264;Our success as a Company is made possible by talented employees working together for our shared mission: to support healthcare professionals in their efforts to improve patients' lives. This is why being a great place to work is important to us, and why every two years;Why is being a great place to work important to the company?;Our success as a Company is made possible by talented employees working together for our shared mission: to support healthcare professionals in their efforts to improve patients' lives
1265;Adjusted EBITDA grew by 21.9% to £2.1m (2016: £1.7m). EBITDA as a percentage of sales fell slightly from 34.2% to 32.8%, primarily due to a small increase in manpower costs as the structure required to run the enlarged division was established.;What caused the small increase in manpower costs?;the structure required to run the enlarged division was established
1266;The Consumer division, which consists of Adult and Children's trade publishing, has had an exceptional year, significantly due to an excellent Children's performance. Revenue for the division increased by 28% to £85.4 million (2016: £66.4 million).;What is the reason the Consumer division, consisting of Adult and Children's trade publishing, had an exceptional year?;an excellent Children's performance
1267;UK store impairment testing during the year has identified a number of stores where the current and anticipated future performance does not support the carrying value of the stores. As a result, a charge of £39.4m has been incurred in respect of the impairment of assets;What caused the £39.4 million charge incurred for the impairment of assets?;UK store impairment testing during the year has identified a number of stores where the current and anticipated future performance does not support the carrying value of the stores
1268;Mr P Grosch is not considered independent because of his links with the Group's Private Equity business including his position as chairman of Euro-Diesel, a company in which the Group is invested.;What explains why Mr. P Grosch was not considered independent?;his links with the Group's Private Equity business including his position as chairman of Euro-Diesel, a company in which the Group is invested
1269;In light of these considerations the Audit Committee has recommended to the Board that a statement may be made on the Company's longer-term prospects to continue its operations and meet its expenses and liabilities as they fall due until the winding up vote at the first AGM;What were the implications of the considerations?;the Audit Committee has recommended to the Board that a statement may be made on the Company's longer-term prospects to continue its operations and meet its expenses and liabilities as they fall due until the winding up vote at the first AGM
1270;In light of recent events the Audit and Risk Committee will be focussed on the Company's IT security in the coming year and will be working closely with the executive to ensure that appropriate safeguards are in place.;What will recent events imply?;the Audit and Risk Committee will be focussed on the Company's IT security in the coming year and will be working closely with the executive to ensure that appropriate safeguards are in place
1271;However, problems deriving from saturation, brought about by the growing demand and the need to meet orders from the United States, had a negative impact on margins.;What factors drove the saturation which caused the problems that had a negative impact on margins?;the growing demand and the need to meet orders from the United States
1272;As a result of the Group's German and Italian Euro-denominated operations, foreign currency translation sensitivity for the Euro is such that a Eur 1c strengthening in the Euro:GBP exchange rate increases revenue by £0.8m and EBIT by £0.1m.;What is the effect of the Group's Euro-denominated operations in Germany and Italy?;foreign currency translation sensitivity for the Euro is such that a Eur 1c strengthening in the Euro:GBP exchange rate increases revenue by £0.8m and EBIT by £0.1m
1273;The main source of the company’s direct emissions contributing to greenhouse gas (GHG) are emissions of CO2 from energy use. Also, the studies of the development of the most efficient and eco-friendly means of transport show that the greatest impact on the life cycle of CAF’s products is centred on the usage phase, in particular the consumption of energy. Therefore, the Group concentrates its efforts on gradually reducing the intensity of its GHG emissions, in two ways: Improving energy efficiency in the production activities and facilities and the research and development of sustainable transport solutions.;Why does the Group concentrate its efforts on gradually reducing the intensity of its GHG emissions by improving energy efficiency in the production activities and facilities and by researching and developing sustainable transport solutions?;The main source of the company’s direct emissions contributing to greenhouse gas (GHG) are emissions of CO2 from energy use. Also, the studies of the development of the most efficient and eco-friendly means of transport show that the greatest impact on the life cycle of CAF’s products is centred on the usage phase, in particular the consumption of energy
1274;The development of the Group's own voice assistant commenced in 2018. This will enhance apps thanks to the incorporation of vocal interface and will also entail the creation of new products that will change how customers interact with services, such as TV.;What event will enable the enhancement of apps using vocal interface and the creation of new products bound to change customer interaction?;The development of the Group's own voice assistant commenced in 2018
1275;Deloitte is a member of the Remuneration Consultants' Group and, as such, voluntarily operates under the Group's Code of Conduct when providing advice on executive remuneration in the UK.;What are the implications of Deloitte being a member of the Remuneration Consultants' Group?;voluntarily operates under the Group's Code of Conduct when providing advice on executive remuneration in the UK
1276;We have clear plans for our recently acquired business, Parkside Ceramics, and as a result some structural changes have been made to ensure that our diversification into the commercial tile market does not detract from the core business strategy.;What is the effect of the clear plans for the recently acquired Parkside Ceramics?;some structural changes have been made to ensure that our diversification into the commercial tile market does not detract from the core business strategy
